date,kp_avg,kp_max
2018-01-01,2.21,3.667
2018-01-02,1.13,2.0
2018-01-03,0.5,1.0
2018-01-04,0.62,1.333
2018-01-05,1.17,2.0
2018-01-06,0.37,1.333
2018-01-07,0.38,1.0
2018-01-08,1.92,3.667
2018-01-09,2.08,3.667
2018-01-10,0.83,1.667
2018-01-11,0.42,1.0
2018-01-12,0.79,1.333
2018-01-13,1.46,3.0
2018-01-14,2.33,4.667
2018-01-15,2.0,3.667
2018-01-16,0.96,2.0
2018-01-17,0.17,0.667
2018-01-18,0.21,0.333
2018-01-19,1.79,2.667
2018-01-20,1.67,3.0
2018-01-21,2.04,3.0
2018-01-22,2.42,3.333
2018-01-23,1.0,2.0
2018-01-24,1.54,4.0
2018-01-25,2.21,3.0
2018-01-26,1.67,3.0
2018-01-27,1.42,2.667
2018-01-28,0.83,1.667
2018-01-29,0.67,1.0
2018-01-30,0.79,2.333
2018-01-31,1.42,2.667
2018-02-01,0.83,2.667
2018-02-02,0.71,2.0
2018-02-03,0.79,1.667
2018-02-04,0.71,2.333
2018-02-05,1.88,3.0
2018-02-06,1.12,2.333
2018-02-07,0.5,1.667
2018-02-08,0.54,1.333
2018-02-09,0.92,2.667
2018-02-10,1.54,2.333
2018-02-11,0.33,0.667
2018-02-12,0.75,1.667
2018-02-13,0.42,0.667
2018-02-14,0.42,1.333
2018-02-15,2.08,4.667
2018-02-16,1.79,2.333
2018-02-17,2.38,3.667
2018-02-18,2.71,4.0
2018-02-19,2.92,4.0
2018-02-20,0.75,2.667
2018-02-21,0.54,2.0
2018-02-22,2.17,3.667
2018-02-23,2.75,4.333
2018-02-24,1.75,3.333
2018-02-25,0.83,2.0
2018-02-26,1.58,3.0
2018-02-27,2.75,5.333
2018-02-28,1.54,2.333
2018-03-01,1.38,2.667
2018-03-02,0.71,2.667
2018-03-03,1.38,2.667
2018-03-04,1.38,2.667
2018-03-05,1.08,1.333
2018-03-06,1.04,2.0
2018-03-07,0.62,2.667
2018-03-08,0.79,1.667
2018-03-09,2.0,4.333
2018-03-10,2.38,4.0
2018-03-11,1.04,2.333
2018-03-12,0.42,1.0
2018-03-13,0.58,1.0
2018-03-14,1.75,4.0
2018-03-15,2.83,4.0
2018-03-16,3.25,4.333
2018-03-17,2.67,4.333
2018-03-18,3.0,6.0
2018-03-19,2.62,4.333
2018-03-20,1.46,3.0
2018-03-21,0.92,2.0
2018-03-22,1.46,3.0
2018-03-23,2.79,4.0
2018-03-24,2.0,2.667
2018-03-25,3.04,4.0
2018-03-26,2.38,3.0
2018-03-27,1.79,3.0
2018-03-28,0.33,0.667
2018-03-29,0.83,1.667
2018-03-30,1.08,2.333
2018-03-31,1.42,2.667
2018-04-01,1.12,1.333
2018-04-02,1.17,1.667
2018-04-03,0.58,2.0
2018-04-04,1.04,1.667
2018-04-05,1.83,3.0
2018-04-06,0.79,1.667
2018-04-07,0.92,2.0
2018-04-08,1.17,2.333
2018-04-09,2.21,4.333
2018-04-10,3.12,4.0
2018-04-11,2.17,4.333
2018-04-12,2.0,3.0
2018-04-13,1.92,3.667
2018-04-14,1.33,2.0
2018-04-15,1.29,2.333
2018-04-16,0.46,1.0
2018-04-17,0.58,1.0
2018-04-18,1.29,2.0
2018-04-19,0.33,1.0
2018-04-20,4.62,6.0
2018-04-21,2.54,3.333
2018-04-22,1.21,1.667
2018-04-23,1.42,3.0
2018-04-24,0.96,2.0
2018-04-25,0.92,2.0
2018-04-26,0.92,1.667
2018-04-27,1.21,2.667
2018-04-28,0.71,1.667
2018-04-29,0.71,1.333
2018-04-30,1.25,2.333
2018-05-01,0.42,1.0
2018-05-02,0.96,2.0
2018-05-03,0.62,1.333
2018-05-04,0.88,1.333
2018-05-05,2.88,5.667
2018-05-06,3.71,5.667
2018-05-07,3.04,4.0
